product_code,product_name,brand
4008400191423,milchschnitte 10erpack,"kinder,Ferrero"
4008258107010,cashew kerne nsse,Seeberger
8000380153442,classic napolitaner  loacker,Loacker
5000157140722,sauce algrienne,heinz
8480000510525,perlas de mozzarella,Hacendado
5202390015878,violife 100 vegan original flavour slices,Violife
8410376036169,mara sin gluten,Gullón
3560071181413,chocolat ptissier noir corse 70 cacao,"Carrefour BIO, Carrefour"
3229820794723,ramen saveur poulet teriyaki,Tanoshi
3019081241599,filets de maquereaux huile dolive vierge extra,Petit Navire
5900783008062,mayomix,Heinz
3330724270159,pte  tartiner noisette cacao,le jardin de corentin
8008343200134,rummo linguine n13,Rummo
5410188033663,pepsi max,Pepsi
20067274,choco shells,Crownfield
3036811367985,velout de poireaux et pommes de terre,Liebig
3175681270749,gerbl  no sugar added apple blackcurrant cake filling 180g 64oz,Gerblé
3057640556913,touche de th noir,Volvic
20959968,mantequilla light,"Milbona,Lidl"
20269944,iodized sea salt,Castello
8004030344938,tonno rio mare oliva,Rio Mare
8850389111352,mogu mogu,Sappe Public Company Limited
1402016760005,mild mustard,Ikea
8002590048402,dolcesenzafrumento avena e riso,Misura
8002270766817,essenza  saveur citron  zeste de citron,"Nestlé, San Pellegrino"
20561864,soba noodles,Vitasia
3255290254115,madeleines sorties du four,LE STERN
20415044,Unknown Product,Pilos ( Lidl )
3154230801313,herta knacki saucisses 100 pur porc x6  210g,"Herta, Knacki"
8000500359884,ferrero rocher haselnuss white,Ferrero
5900617038289,krem orzechowy gadki,"Go On, Sante"
3154230809951,herta le bon paris jambon au torchon sans nitrite x4  140g,"Le Bon Paris, Herta"
5900012000232,olej rzepakowy z pierwszego toczenia filtrowany,Kujawski
5449000000712,fanta orange slim 25cl,"Fanta, Fanta orange"
50823093,milk chocolate caramel wafer,Tunnock’s
5941445674652,pombar,Chio
4009491022016,orangensaft,Valensina
3168930170693,th vert glac,Lipton
34000400126,creamy peanut butter,reese's
6104696,almonds,Alesto Lidl
3760322850307,water,Compagnie des Pyrénées
7622201500573,philadelphia,Philadelphia
3421557502767,muesli au chocolat,Terres et Céréales
80935490,chewing gum pure fresh,Mentos
5000118203664,pot noodles chicken and mushroom 114g,King Pot Noodle
3564707186278,muesli croustillant tout chocolat,Marque Repère
20978075,peanut butter,Lidl
3760278865660,tablette de chocolat 100 cacao varits native prou,Ethiquable
3033490006402,skyr vanille,Danone
2006050037223,nature  tartiner,"Aldi, Petit pré"
5000169070857,fruit and nut muesli,Waitrose
4056489358848,jemn keup,"Kania,Lidl"
5060178070866,organic baked beans,mr organic
8052575090315,pte a tartiner cacao noisette,nocciolata
3046920040440,excellence noir orange sanguine de sicile,Lindt
51500017005,natural peanut butter,Smucker's
5030101022248,incredible curried chickpeas,Jamie Oliver
5000119309235,basmati rice,Tesco
5000169288832,salted tortilla chips,Waitrose
5000232844255,butter beans in water,Napolina
3760324300138,knax vgtales  gourmandes,HappyVore
4056489756286,soft pitted apricots,Alesto
5000128947589,8 wraps,The co-operative loved by us
5010251958178,chickpeas,Morrisons
5010251907350,morrisons authentic greek yogurt,"Morrison's The Best, Morrisons"
8711299100211,mlange de fruits et de noix,Natural Happiness
10061282,houmous,Tesco
5012035927608,tangfastics,Haribo
5060021080912,6 seed  cereal original pitta,The Food Doctor
1550368,unsweetened soya,Sainsbury's
